block_name,district_n,state_name,Unq,district_name,longitude,latitude
Balianta,Khurda,Odisha,181,Khordha,85.918,20.24
Seragad,Ganjam,Odisha,109,Ganjam,84.647,19.522
Umarkote,Nawarangpur,Odisha,247,Nabarangapur,82.178,19.697
Hindol,Dhenkanal,Odisha,77,Dhenkanal,85.299,20.65
Puri,Puri,Odisha,269,Puri,85.826,19.871
Nayagarh,Nayagarh,Odisha,252,Nayagarh,85.11,20.124
Phulbani,Kandhamal,Odisha,155,Kandhamal,84.157,20.474
Bamra,Sambalpur,Odisha,281,Sambalpur,84.42,22.011
Telkoi,Keonjhar,Odisha,180,Keonjhar,85.464,21.288
Boudh,Boudh,Odisha,54,Bauda,84.118,20.721
Tileibani,Deogarh,Odisha,73,Deogarh,84.622,21.538
Khurda,Khurda,Odisha,189,Khordha,85.585,20.153
Kotagarh,Kandhamal,Odisha,153,Kandhamal,83.815,19.804
Patnagarh,Bolangir,Odisha,48,Balangir,83.14,20.75
Odagaon,Nayagarh,Odisha,253,Nayagarh,85.025,19.997
Ambabhona,Bargarh,Odisha,21,Bargarh,83.544,21.614
Bolangir,Bolangir,Odisha,43,Balangir,83.397,20.7
Mohana,Gajapati,Odisha,84,Gajapati,84.173,19.458
Narasinghpur,Cuttack,Odisha,65,Cuttack,85.085,20.506
Bhadrak,Bhadrak,Odisha,35,Bhadrak,86.512,21.071
Ghasipura,Keonjhar,Odisha,171,Keonjhar,86.057,21.169
Gandia,Dhenkanal,Odisha,76,Dhenkanal,85.832,20.768
Marsaghai,Kendrapada,Odisha,164,Kendrapara,86.45,20.424
Simulia,Baleswar,Odisha,19,Balasore,86.611,21.171
Baliguda,Kandhamal,Odisha,147,Kandhamal,83.827,20.226
Soro,Baleswar,Odisha,20,Balasore,86.675,21.283
Oupada,Baleswar,Odisha,17,Balasore,86.6,21.377
Banarpal,Anugul,Odisha,3,Angul,85.109,20.836
Bramhagiri,Puri,Odisha,261,Puri,85.658,19.816
Kujanga,Jagatsingpur,Odisha,115,Jagatsinghpur,86.536,20.293
Jagatsingpur (P),Jagatsingpur,Odisha,114,Jagatsinghpur,86.169,20.247
Jhumpura,Keonjhar,Odisha,175,Keonjhar,85.561,21.858
Loisinga,Bolangir,Odisha,46,Balangir,83.41,20.836
Bhubaneswar,Khurda,Odisha,185,Khordha,85.789,20.308
Dharakote,Ganjam,Odisha,96,Ganjam,84.508,19.616
Ersama,Jagatsingpur,Odisha,113,Jagatsinghpur,86.453,20.175
Attabira,Bargarh,Odisha,22,Bargarh,83.765,21.449
Padmapur,Rayagada,Odisha,279,Rayagada,83.883,19.289
Kundra,Koraput,Odisha,198,Koraput,82.374,18.908
Bhanjanagar,Ganjam,Odisha,92,Ganjam,84.518,20.019
Kakatpur,Puri,Odisha,264,Puri,86.175,19.96
Joda,Keonjhar,Odisha,176,Keonjhar,85.402,22.014
Kanas,Puri,Odisha,265,Puri,85.619,19.972
Basudebpur,Bhadrak,Odisha,34,Bhadrak,86.776,21.083
Niali,Cuttack,Odisha,66,Cuttack,86.104,20.147
Baragaon,Sundargarh,Odisha,298,Sundargarh,84.267,22.211
Chandahandi,Nawarangpur,Odisha,238,Nabarangapur,82.49,19.838
Jagannathprasad,Ganjam,Odisha,100,Ganjam,84.736,20.068
Athmallik,Anugul,Odisha,2,Angul,84.57,20.793
Tarbha,Sonepur,Odisha,294,Sonepur,83.669,20.69
Kaptipada,Mayurbhanja,Odisha,222,Mayurbhanj,86.419,21.456
Sundargarh,Sundargarh,Odisha,311,Sundargarh,84.123,22.049
Balipatna,Khurda,Odisha,182,Khordha,85.977,20.152
Subdega,Sundargarh,Odisha,310,Sundargarh,84.135,22.258
Kankadahad,Dhenkanal,Odisha,79,Dhenkanal,85.508,21.067
Rangeilunda,Ganjam,Odisha,107,Ganjam,84.817,19.257
Kesinga,Kalahandi,Odisha,141,Kalahandi,83.249,20.164
Badamba,Cuttack,Odisha,58,Cuttack,85.354,20.428
Khaprakhol,Bolangir,Odisha,45,Balangir,82.886,20.774
Binjharpur,Jajpur,Odisha,121,Jajpur,86.449,20.736
Narayanpatna,Koraput,Odisha,202,Koraput,83.124,18.838
Bellaguntha,Ganjam,Odisha,91,Ganjam,84.615,19.841
Muruda,Mayurbhanja,Odisha,227,Mayurbhanj,86.934,21.86
Rajnagar,Kendrapada,Odisha,167,Kendrapara,86.855,20.66
Harichandanpur,Keonjhar,Odisha,173,Keonjhar,85.76,21.282
Muribahal,Bolangir,Odisha,47,Balangir,83.051,20.388
Pottangi,Koraput,Odisha,203,Koraput,82.971,18.502
Gumma,Gajapati,Odisha,82,Gajapati,84.02,18.934
Saintala,Bolangir,Odisha,50,Balangir,83.278,20.455
Dabugan,Nawarangpur,Odisha,239,Nabarangapur,82.352,19.481
Chandrapur,Rayagada,Odisha,272,Rayagada,83.793,19.575
Madanpur-Rampur,Kalahandi,Odisha,144,Kalahandi,83.595,20.217
Lathikata,Sundargarh,Odisha,306,Sundargarh,84.828,22.133
Tigiria,Cuttack,Odisha,70,Cuttack,85.507,20.467
Pallahara,Anugul,Odisha,7,Angul,85.199,21.375
Jamankira,Sambalpur,Odisha,283,Sambalpur,84.33,21.553
Nuagaon,Nayagarh,Odisha,308,Nayagarh,84.943,21.132
Delanga,Puri,Odisha,262,Puri,85.734,20.056
Baripada,Mayurbhanja,Odisha,214,Mayurbhanj,86.792,21.895
Basta,Baleswar,Odisha,12,Balasore,87.122,21.687
Tumudibandha,Kandhamal,Odisha,158,Kandhamal,83.663,19.966
Kendrapada,Kendrapada,Odisha,162,Kendrapara,86.442,20.533
Tangarapali,Sundargarh,Odisha,312,Sundargarh,83.958,22.097
Chakapad,Kandhamal,Odisha,148,Kandhamal,84.443,20.271
Chhatrapur,Ganjam,Odisha,94,Ganjam,84.946,19.371
Sohela,Bargarh,Odisha,32,Bargarh,83.341,21.254
Kokasara,Kalahandi,Odisha,142,Kalahandi,82.664,19.655
Karanjia,Mayurbhanja,Odisha,223,Mayurbhanj,86.084,21.776
Jharigan,Nawarangpur,Odisha,240,Nabarangapur,82.401,19.673
Kasinagar,Gajapati,Odisha,83,Gajapati,83.916,18.897
Kuanrmunda,Sundargarh,Odisha,303,Sundargarh,84.712,22.326
Kaniha,Anugul,Odisha,5,Angul,85.071,21.14
Kalimela,Malkangiri,Odisha,205,Malkangiri,81.743,18.026
Mathili,Malkangiri,Odisha,210,Malkangiri,82.093,18.589
Daringbadi,Kandhamal,Odisha,149,Kandhamal,84.063,19.842
Biridi,Jagatsingpur,Odisha,112,Jagatsinghpur,86.069,20.335
Kamakhyanagar,Dhenkanal,Odisha,78,Dhenkanal,85.549,20.859
Banki-Dampara,Cuttack,Odisha,60,Cuttack,85.611,20.37
Narla,Kalahandi,Odisha,145,Kalahandi,83.364,20.101
Naktideul,Sambalpur,Odisha,287,Sambalpur,84.512,21.23
Betanati,Mayurbhanja,Odisha,216,Mayurbhanj,86.914,21.688
Kalampur,Kalahandi,Odisha,139,Kalahandi,82.862,19.607
Aul,Kendrapada,Odisha,159,Kendrapara,86.602,20.656
Sinapalli,Nuapada,Odisha,259,Nuapara,82.574,20.096
Jujomura,Sambalpur,Odisha,284,Sambalpur,84.134,21.318
Ulunda,Sonepur,Odisha,295,Sonepur,83.92,20.998
Tiring,Mayurbhanja,Odisha,236,Mayurbhanj,86.04,22.478
Nilagiri,Baleswar,Odisha,16,Balasore,86.695,21.499
Paikmal,Bargarh,Odisha,30,Bargarh,82.852,20.946
Hatadihi,Keonjhar,Odisha,174,Keonjhar,86.272,21.202
Kutra,Sundargarh,Odisha,304,Sundargarh,84.434,22.267
Bhograi,Baleswar,Odisha,13,Balasore,87.389,21.673
Rajgangpur,Sundargarh,Odisha,309,Sundargarh,84.605,22.164
Barsahi,Mayurbhanja,Odisha,215,Mayurbhanj,86.746,21.74
Parajang,Dhenkanal,Odisha,81,Dhenkanal,85.343,20.938
Bheden,Bargarh,Odisha,26,Bargarh,83.791,21.203
Kishorenagar,Anugul,Odisha,6,Angul,84.584,20.969
Bangomunda,Bolangir,Odisha,41,Balangir,82.897,20.279
Anandapur,Keonjhar,Odisha,168,Keonjhar,86.083,21.338
Dhankauda,Sambalpur,Odisha,282,Sambalpur,83.945,21.49
Muniguda,Rayagada,Odisha,278,Rayagada,83.507,19.753
Digapahandi,Ganjam,Odisha,97,Ganjam,84.522,19.311
Danagadi,Jajpur,Odisha,122,Jajpur,86.013,21.025
Birmaharajpur,Sonepur,Odisha,291,Sonepur,84.1,20.938
Nandapur,Koraput,Odisha,201,Koraput,82.69,18.447
Sorada,Ganjam,Odisha,110,Ganjam,84.349,19.744
Rairakhol,Sambalpur,Odisha,288,Sambalpur,84.241,21.092
Dharamgarh,Kalahandi,Odisha,135,Kalahandi,82.746,19.84
Shamakhunta,Mayurbhanja,Odisha,232,Mayurbhanj,86.506,21.848
Beguniapada,Ganjam,Odisha,90,Ganjam,84.985,19.681
Bahanaga,Baleswar,Odisha,9,Balasore,86.806,21.309
Dunguripali,Sonepur,Odisha,292,Sonepur,83.595,21.047
Banspal,Keonjhar,Odisha,169,Keonjhar,85.413,21.61
Patana,Keonjhar,Odisha,178,Keonjhar,85.847,21.642
Rajkanika,Kendrapada,Odisha,166,Kendrapara,86.688,20.726
Harbhanga,Boudh,Odisha,55,Bauda,84.511,20.593
Nuagada,Gajapati,Odisha,85,Gajapati,84.094,19.173
Mahakalpada,Kendrapada,Odisha,163,Kendrapara,86.643,20.403
Bangiriposhi,Mayurbhanja,Odisha,213,Mayurbhanj,86.444,22.047
Kukudakhandi,Ganjam,Odisha,103,Ganjam,84.73,19.327
Tihidi,Bhadrak,Odisha,39,Bhadrak,86.665,20.959
Balikuda,Jagatsingpur,Odisha,111,Jagatsinghpur,86.312,20.1
Bhatli,Bargarh,Odisha,25,Bargarh,83.514,21.462
Chandabali,Bhadrak,Odisha,37,Bhadrak,86.813,20.851
Lakhanpur,Jharsuguda,Odisha,133,Jharsuguda,83.751,21.72
Rasulpur,Jajpur,Odisha,127,Jajpur,86.168,20.822
Kabisuryanagar,Ganjam,Odisha,101,Ganjam,84.786,19.607
Gopabandhunagar,Mayurbhanja,Odisha,219,Mayurbhanj,86.684,21.655
Astaranga,Puri,Odisha,260,Puri,86.276,19.974
Bijepur,Bargarh,Odisha,27,Bargarh,83.43,21.144
Bolagad,Khurda,Odisha,186,Khordha,85.335,20.195
Dhamanagar,Bhadrak,Odisha,38,Bhadrak,86.502,20.909
Gudari,Rayagada,Odisha,273,Rayagada,83.775,19.395
Bhuban,Dhenkanal,Odisha,74,Dhenkanal,85.774,20.904
Gaisilet,Bargarh,Odisha,28,Bargarh,83.289,20.967
Lahunipara,Sundargarh,Odisha,305,Sundargarh,85.051,21.797
Dasarathpur,Jajpur,Odisha,123,Jajpur,86.491,20.817
Chikiti,Ganjam,Odisha,95,Ganjam,84.661,19.179
Nawarangpur,Nawarangpur,Odisha,243,Nabarangapur,82.489,19.256
Jatani,Khurda,Odisha,188,Khordha,85.697,20.201
Gop,Puri,Odisha,263,Puri,86.03,19.927
Lakshmipur,Koraput,Odisha,199,Koraput,83.066,18.989
Kantapada,Cuttack,Odisha,63,Cuttack,86.012,20.273
Bisoi,Mayurbhanja,Odisha,218,Mayurbhanj,86.309,22.126
Korkunda,Malkangiri,Odisha,207,Malkangiri,81.916,18.246
Bhapur,Nayagarh,Odisha,248,Nayagarh,85.27,20.295
Kosagumuda,Nawarangpur,Odisha,241,Nabarangapur,82.263,19.283
Banki,Cuttack,Odisha,59,Cuttack,85.464,20.358
Khandapada,Nayagarh,Odisha,251,Nayagarh,85.116,20.306
Nandahandi,Nawarangpur,Odisha,242,Nabarangapur,82.664,19.223
Sonepur,Sonepur,Odisha,293,Sonepur,83.741,20.864
Baliapal,Baleswar,Odisha,11,Balasore,87.242,21.611
Koraput,Koraput,Odisha,196,Koraput,82.761,18.798
Laikera,Jharsuguda,Odisha,132,Jharsuguda,84.29,21.934
Krushnaprasad,Puri,Odisha,266,Puri,85.369,19.698
Papadahandi,Nawarangpur,Odisha,244,Nabarangapur,82.505,19.419
Bhawanipatna,Kalahandi,Odisha,134,Kalahandi,83.127,19.939
Sukinda,Jajpur,Odisha,128,Jajpur,85.864,21.002
Boden,Nuapada,Odisha,255,Nuapara,82.554,20.29
Patrapur,Ganjam,Odisha,104,Ganjam,84.474,19.094
K.Nuagaon,Kandhamal,Odisha,151,Kandhamal,84.059,20.143
Ghatgaon,Keonjhar,Odisha,172,Keonjhar,85.818,21.467
Thuamul-Rampur,Kalahandi,Odisha,146,Kalahandi,83,19.517
Bargarh,Bargarh,Odisha,23,Bargarh,83.617,21.322
Lamptaput,Koraput,Odisha,200,Koraput,82.576,18.611
Baleswar,Baleswar,Odisha,10,Balasore,87.006,21.501
Bahalda,Mayurbhanja,Odisha,212,Mayurbhanj,86.155,22.4
Raghunathpur,Jagatsingpur,Odisha,117,Jagatsinghpur,86.201,20.33
Chhendipada,Anugul,Odisha,4,Angul,84.871,21.013
Paralakhemundi,Gajapati,Odisha,86,Gajapati,84.221,18.828
Garadpur,Kendrapada,Odisha,161,Kendrapara,86.342,20.397
Jashipur,Mayurbhanja,Odisha,221,Mayurbhanj,86.181,21.926
Buguda,Ganjam,Odisha,93,Ganjam,84.807,19.84
Bijatola,Mayurbhanja,Odisha,217,Mayurbhanj,86.316,22.246
Sukruli,Mayurbhanja,Odisha,233,Mayurbhanj,85.882,21.9
Maneswar,Sambalpur,Odisha,286,Sambalpur,84.012,21.353
Suliapada,Mayurbhanja,Odisha,234,Mayurbhanj,86.906,22.023
Karlamunda,Kalahandi,Odisha,140,Kalahandi,83.464,20.341
Jharbandh,Bargarh,Odisha,29,Bargarh,82.8,21.087
Saraskana,Mayurbhanja,Odisha,231,Mayurbhanj,86.572,22.235
Barkot,Deogarh,Odisha,71,Deogarh,84.958,21.528
Agalpur,Bolangir,Odisha,40,Balangir,83.459,20.971
Komna,Nuapada,Odisha,257,Nuapara,82.557,20.569
Podia,Malkangiri,Odisha,211,Malkangiri,81.571,18.097
Gunupur,Rayagada,Odisha,274,Rayagada,83.876,19.097
Dhenkanal,Dhenkanal,Odisha,75,Dhenkanal,85.598,20.638
Khariar,Nuapada,Odisha,256,Nuapara,82.751,20.255
Talcher,Anugul,Odisha,8,Angul,85.147,20.959
Raruan,Mayurbhanja,Odisha,229,Mayurbhanj,85.832,22.011
Ranapur,Nayagarh,Odisha,254,Nayagarh,85.296,20.024
Hemgiri,Sundargarh,Odisha,301,Sundargarh,83.699,21.974
Pipili,Puri,Odisha,268,Puri,85.833,20.09
